DESTINI_ID,Stone_ID,Deposit_ID,Location_Specific,Stone_ID,Stone_Type,Provenance_1,Colour,Deposit_ID,Deposit,Lower_Date,Upper_Date,Archaeological_Context
42,4,1,Aquileia,4,Greco_Scritto,Asia_Minor,Grey,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
43,13,1,Aquileia,13,Pentelico_Grigio,Greece_And_Aegean,Grey,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
44,13,1,Aquileia,13,Pentelico_Grigio,Greece_And_Aegean,Grey,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
45,3,1,Aquileia,3,Prokonnesian,Asia_Minor,White,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
46,3,1,Aquileia,3,Prokonnesian,Asia_Minor,White,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
47,12,1,Aquileia,12,Rosso_Antico,Greece_And_Aegean,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
48,14,1,Aquileia,14,Verde_Antico,Greece_And_Aegean,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
49,15,1,Aquileia,15,Portasanta,Greece_And_Aegean,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
50,16,1,Aquileia,16,Ardesia,Northern_Italy,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
51,17,1,Aquileia,17,Arenaria,Northern_Italy,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
52,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
53,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
54,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
55,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
56,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
57,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
58,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
59,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
60,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
61,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
62,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
63,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
64,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
65,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
66,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
67,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
68,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
69,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
70,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
71,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
72,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
73,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
74,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
75,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
76,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
77,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
78,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
79,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
80,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
81,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
82,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
83,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
84,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
85,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
86,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
87,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
88,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
89,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
90,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
91,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
92,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
93,6,2,Aquileia,6,Africano,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
94,11,2,Aquileia,11,Alabastro_Fiorito,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
95,11,2,Aquileia,11,Alabastro_Fiorito,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
96,11,2,Aquileia,11,Alabastro_Fiorito,Asia_Minor,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
